gene,no_dox_shNC_1,no_dox_shNC_2,DUX4_NC_1,DUX4_NC_2,DUX4_3ASO_1,DUX4_3ASO_2
HES4,10.22488235,9.208175381,1.686933031,1.795367732,3.5268861,2.212629492
ANKRD65,2.78997147,2.725536329,0.523093858,0.569370591,4.039000455,2.639721499
PRDM16,0.330116334,0.194996101,0.064366101,0.051377627,0.479408432,0.45227365
TP73,4.966798342,4.738896902,0.929013905,1.080540832,1.96657647,1.645003543
SMIM1,3.436088564,3.987768837,1.153511393,0.292299567,0.837380789,0.72046593
HES3,84.49369133,86.78030895,15.22959972,17.16436575,29.85062013,25.88197749
C1orf127,0.287124693,0.388970028,0.105569053,0.06019015,0,0.222536863
TMEM82,1.557312488,1.355509781,0.217832193,0.248393863,1.593983057,1.530615639
HSPB7,0.31235432,0.250127956,0.048235067,0.073336541,0,0.316332452
CLCNKA,1.377306426,1.525256369,0.307459236,0.391842033,0.779877108,1.219983448
CLCNKB,3.075079925,3.502803701,0.620321455,0.902483615,0.586964329,0.991988923
FAM131C,1.988171568,1.915300479,0.219301294,0.458459974,0.811918571,0.719104585
HTR6,2.236917244,2.194405121,0.413594546,0.207513462,0.064852938,0.23249246
PLA2G2A,1.275666166,1.191379415,0.111928257,0.297807289,0.926287272,0.576746873
CDA,18.34936881,20.90334418,2.299989181,3.846591005,1.101972694,2.262548572
WNT4,2.763039295,2.579219825,0.108157197,0.262079563,0.794971504,0.740975969
HTR1D,24.38302828,26.34509321,1.064404164,1.542460174,1.709585986,1.028379346
CD52,7.897949214,6.447990305,0.538469987,2.456067451,2.374700745,1.98639168
HPCA,6.691062126,7.679121289,2.272664123,0.876005728,1.882188133,2.474079638
TMEM54,13.51451556,15.03889341,4.303484814,3.187189506,3.594296002,3.366792713
FAM183A,3.53497646,3.297247711,0.29829832,0.340149318,2.241260112,3.458428761
TAL1,0.359963694,0.307036108,0.011029188,0.025153147,0.129705877,0.23249246
PODN,0.29915625,0.231153584,0.051329962,0,0.48627569,0.324606741
GLIS1,0.32955237,0.446447128,0.06058436,0.069084294,0.448602615,0.539221188
MROH7,0.134386597,0.271868136,0,0.05521625,0.45195343,0.340245347
FYB2,0.630622405,0.86380134,0.135254671,0.215923099,1.131112639,1.216483783
TNNI3K,0.319970143,0.380642196,0.053130252,0.075730476,0.156206106,0.223994426
ANKRD34A,0.85168668,0.560868432,0.171251351,0.019527777,2.013956684,3.248941211
POLR3GL,10.57430621,10.57328357,2.221671861,2.216699199,2.585523003,4.439309364
TXNIP,209.1536315,207.751511,5.267936743,6.862328444,42.34995254,53.51326167
DCST2,0.779472018,0.771016027,0.14329684,0.023343038,1.925948547,1.121959705
AL691442.2,38.44416204,36.8022138,9.532520737,7.980451414,13.40211077,12.97227602
EFNA3,22.96858288,22.26820063,4.43039754,3.392569508,8.747140159,8.316628422
EFNA1,7.288344416,7.227715896,0.754977203,1.423795915,3.490775565,4.978452857
DPM3,63.06805335,67.69370886,6.468565498,9.911633941,7.792084034,7.812045674
HAPLN2,0.953105841,1.214443022,0.199666332,0.292730589,2.720841672,1.483141554
CRABP2,438.4057432,417.3556132,69.31569365,82.61832395,75.01043506,84.99941519
LRRC71,0.553252726,0.485784262,0.094928457,0.162370258,1.488508365,2.734792392
CD1D,0.99744143,0.968305444,0.187488603,0.312466829,0.244990071,0.344551799
IFI16,1.568733786,1.934882202,0.285000548,0.433314507,1.008605705,1.218235896
CD48,0.945817329,1.091482891,0.115918324,0.308423652,0.353429249,0.841659857
TSTD1,82.68553797,84.75744649,14.75810379,24.55426247,14.13725431,21.69929624
KLHDC9,5.027233822,5.057590328,1.133056686,1.166989026,2.722315208,4.879638254
FCRLB,0.226167665,0.218445488,0.097016005,0,1.045853715,0.613521769
LMX1A,0.571985321,0.565780219,0.045065499,0,0.039257852,0.316656397
FMO1,0.651001208,1.071773328,0.157078661,0.079607406,0.821014435,0.441490401
FMO4,7.033796591,6.621518499,1.384939722,1.438241505,2.714536843,2.74564266
TDRD5,1.266096543,1.245940425,0.138336758,0.403126841,1.667042934,2.332882775
RGS8,0.292309443,0.354194498,0.037616378,0.064340884,0.270341843,0.449334717
LMOD1,3.004774546,2.997334204,0.570503996,0.686686618,1.71873093,1.068984741
PPFIA4,8.782024966,9.057080483,1.670910034,1.794561853,1.320175198,2.029608637
CHI3L1,0.552002437,0.520400182,0.14954831,0.085264905,0.244267188,0.761839699
BTG2,13.41353909,13.44253329,3.101134003,3.042189642,47.6733002,46.01613545
PRELP,0.474211142,0.526425433,0.130767282,0.049704607,0.256309065,0.260339971
CAMK1G,1.805535615,1.670420565,0.415582981,0.323106079,0.370254156,0.37165261
AGT,0.346305877,0.389215126,0.118840021,0.067756587,0.582327897,0.668031264
EGLN1,17.57626641,18.72031809,4.790041272,4.276408932,6.885025458,5.615075278
AL445524.2,19.11723562,20.88241991,5.48590012,5.148215234,8.326015914,7.206636192
MAP1LC3C,20.72272943,22.43178658,0.572932958,0.59392269,0.272235478,0.731956377
CYS1,0.720686006,0.451999476,0.198734576,0.075538955,0.144269504,0.186189957
PFN4,0.456562763,0.352779255,0.039169078,0.089328933,1.484277014,1.266033706
UCN,0.86029059,1.489176237,0.395385981,0.180343318,1.343285183,2.667083312
GCKR,0.651569723,0.768264185,0.099819579,0.295942869,2.843451584,3.030006526
SULT6B1,2.838958948,3.185542212,0.427016859,0.270514976,11.96557109,12.4019374
PKDCC,69.02731931,68.61406112,8.884513961,7.969234322,5.605229694,5.012283135
C1GALT1C1L,1.069477747,1.046377021,0.196611012,0.224195367,2.183737204,2.141330083
SIX3,6.770524546,5.672921642,0.046344542,0.079269962,0.302790473,0.195386218
STON1,16.01369166,17.41385531,3.832818049,4.305465693,3.100894166,4.045471339
STON1-GTF2A1L,14.30070682,15.70343444,3.645488208,3.455775274,3.252212254,3.765143375
ARHGAP25,1.052695663,1.146784413,0.264047942,0.065455139,0.465039941,0.822809326
C2orf78,0.401085515,0.574747393,0.061937311,0.141254126,0.188843806,0.55126291
CD8B,0.175827259,0.409527451,0.083361356,0.040738664,0.653566268,0.351447211
CREG2,0.782023002,1.006285685,0.187022778,0.111708621,0.628409264,0.750931872
ACOXL,9.792544363,10.34489715,2.7347473,2.070637517,2.058321903,1.921592455
ZC3H6,7.004910925,7.808298617,1.561003956,1.585607486,2.380872284,2.470724954
IL37,1.22276106,0.490810016,0.374650602,0,0.391642696,0.526502591
INHBB,0.365705919,0.160554274,0,0.089440385,0.128114559,0.385795348
PROC,1.50766357,0.949014115,0.176378596,0.488444877,2.831521749,2.655725492
CFC1B,0.234162807,0.246728342,0,0,0,0
CFC1,0.525920982,0.584928413,0,0,0.147393042,0.475552759
MYO3B,0.634675459,0.6812328,0.137396148,0.182784828,0.538603812,0.600709027
SP5,1.012847287,0.843831154,0.151558271,0.069128707,0.316864245,0.34077969
FRZB,9.855661258,10.13077379,1.740328054,1.984494584,5.700762662,6.365550093
IGFBP2,482.5778867,489.987945,86.02696774,76.90195412,56.05817615,56.24630951
IGFBP5,8.507206131,9.21049665,1.925076005,1.973428926,2.807686243,3.060587407
RUFY4,0.246671734,0.23628047,0,0,0.094270204,0.263601733
CATIP,0.358079068,0.256021023,0.049371496,0.056298274,0.860178591,0.370040355
ASIC4,0.214019231,0.245112859,0.083821828,0.027309131,0.704117618,0.50484077
INHA,2.299279099,3.177777346,0.576403157,0.394363214,1.355727687,2.538090056
PRSS56,0.416692335,0.167258165,0,0,0.300293866,0.574148723
CHRND,0.71749742,0.509477877,0.020072277,0.0228884,0.314739676,0.479534256
ACKR3,4.318819067,3.75484481,0.455553413,0.796516319,2.142966663,2.262028087
RAMP1,0.894417201,1.346304282,0.328856343,0.249996404,0.716190544,1.694539637
NEU4,0.406320412,0.50496699,0.107257617,0.091729327,0.770840358,1.036274773
TTC21A,1.056333,0.8314106,0.2702345,0.1494052,1.615762,2.485734
TMIE,0.6788173,1.120548,0.2620645,0.1328142,0.228292,0.7365671
AC109583.1,3.779445,4.469169,1.083171,0.7023336,0.4995429,0.9849512
PRSS50,2.970743,3.709816,0.4719698,0.5381867,0,0.3979601
PTH1R,2.299547,1.868072,0.1355366,0.2833457,1.033111,1.07934
PFKFB4,22.45426,22.15889,3.016186,3.110679,9.631127,9.721512
TMEM89,0.7633159,0.2680922,0,0,8.984834,5.368315
SLC38A3,0.8494967,0.9339986,0.1584334,0.2890583,1.221441,0.5120928
SEMA3B,3.328523,3.24834,0.8610339,0.9072663,2.079312,2.98677
GPR62,1.498534,1.214575,0,0.5074549,2.287247,2.001256
FAM107A,0.6426715,0.7352004,0.1299624,0.0404171,0.3242038,0.3652766
FAM3D,0.2103109,0.1899399,0.0386632,0,0.05052094,0.5433403
BOC,3.211099,3.044572,0.7728973,0.5343522,1.510933,1.932861
IGSF11,2.622603,2.584717,0.2181523,0.2633918,1.173769,1.532865
CD86,0.1563498,0.2845506,0.01829106,0.04171456,0.3824128,0.2570472
FAM162A,66.05932,65.37011,10.9722,14.23146,13.7742,14.06846
ROPN1B,0.3029031,0.2425596,0.01559186,0.08889691,0.2241115,0.8983712
ALDH1L1,0.4738437,0.3528681,0.09169541,0.04705209,0.3534624,0.4510137
ZIC1,0.343576,0.4223483,0.147379,0.03151054,0.6018099,1.139128
BCL6,30.91121,31.96295,2.912441,2.922528,10.42061,12.9038
AC072022.2,18.14877,18.53773,0.7693437,1.002608,2.51324,2.316795
P3H2,59.3625,59.5739,12.63419,12.32292,13.47253,13.69674
TM4SF19,0.4373289,0.5150081,0.03310499,0.1509984,6.315677,4.791867
CNGA1,2.141803,2.371729,0.5617771,0.2402227,0.6652512,1.554278
PF4V1,0.9204994,0.9006166,0.1692231,0.09648246,1.105613,0.4756239
FAM47E,0.9759143,0.8821589,0.1652465,0.1281327,0.5009493,0.8360048
FAM47E-STBD1,9.417839,9.843829,3.141379,1.901615,3.268652,3.815114
BMP3,0.3207631,0.2196842,0.04127798,0.01176731,0.2292351,0.01450216
HSD17B13,0.2055205,0.216549,0,0.03015838,0.79486,0.7805174
LEF1,0.473851,0.470474,0.0938129,0.05348739,0.6282465,0.247194
MGARP,18.43932,16.98969,2.105818,1.34705,9.932814,12.0539
RXFP1,0.5414654,0.8874776,0.1548433,0.1639557,1.690923,1.74083
SCRG1,0.2393309,0.3732171,0,0.01404791,0.4829339,1.350397
C4orf47,10.94347,12.88727,1.2426,1.941727,4.209586,4.527306
IRX2,66.25734,63.66444,13.24281,12.23247,21.63037,26.27801
C5orf38,15.40431,13.02218,1.240998,1.675788,3.968663,4.084621
IRX1,17.16874,18.83245,0.5440359,0.9650102,0.7503818,1.783933
CDH9,1.324097,1.725581,0.2989366,0.357921,0.3124947,0.2940703
FBXO4,0.5186698,0.6489717,0.1251487,0.190276,5.696329,4.983083
GHR,0.9070144,0.829743,0.1266737,0.2269865,0.4492787,0.7120667
CCDC152,35.06227,34.82174,4.751423,5.561704,7.502122,8.043054
SELENOP,30.01099,29.81583,2.845097,3.622108,4.747867,5.36313
FGF10,0.435158,0.345893,0.07859524,0.1232304,0.2310747,0.2899343
SSBP2,5.745027,6.185602,1.236825,1.410351,2.868304,2.55239
SMIM32,0.4323205,0.2429437,0.1483572,0,0.5331077,0.7297108
WNT8A,0.2208287,0.2326787,0,0.07201052,0.9489615,0.532479
MZB1,0.2991824,0.5629232,0.0550012,0.06271782,1.221785,1.159411
PSD2,0.4958521,0.408882,0.1109733,0.09490706,2.428885,2.280806
PRELID2,3.262874,3.572035,1.076038,0.773547,0.7794418,0.657467
STK32A,1.295978,1.801189,0.2223672,0.5705214,1.380187,1.55132
ATP10B,0.2246079,0.2048025,0.02223391,0.03169163,0.2832657,0.3280795
C5orf58,0.4449479,0.53349,0.07897785,0.1576022,0.3869993,0
EIF4E1B,1.364354,0.9534883,0.143326,0.1225759,0.5618493,0.3273049
ZFP2,1.704362,1.366386,0.09536044,0.4349577,3.052867,2.814243
LTC4S,2.499988,1.900036,0.3164415,0.5412569,1.447222,2.594085
TRIM38,3.169325,3.180898,0.4205332,0.4186405,0.880957,0.9662088
H1-3,3.887639,2.395923,0.2831819,0.2152747,11.59433,12.33676
TRIM31,0.4164724,0.3656841,0.0893242,0,1.470663,1.581662
LTB,2.896125,2.783268,0.1638212,0.1868051,0.856256,0.5755514
NCR3,1.148998,0.5427073,0,0.1162798,0.5329898,0.6448696
HLA-DQB1,4.422998,4.355951,0.2179299,0.6578081,0.2345144,0.5764903
PSMB9,1.756221,1.696257,0.2825032,0.2791864,1.107435,0.926348
AL645941.2,9.179746,6.728588,2.157179,1.757021,4.563725,5.918681
ZBTB22,9.334932,9.27166,2.664413,2.409629,3.511584,3.453834
IP6K3,1.521712,1.861383,0.06752564,0.538996,2.029412,3.352952
CLPSL2,5.11709,4.71772,0.4115638,0.8212852,0.8066814,0.433783
CLPSL1,1.429518,0.5893935,0.1599653,0.09120416,0.3135384,0.5620047
CPNE5,0.9902476,1.123646,0.2069406,0.1987151,2.362511,2.801027
MDGA1,0.4614591,0.5520262,0.1741327,0.08655326,0.2800468,0.3074581
TREM2,0.2676834,0.3760636,0,0.06546709,0.1500403,1.290917
TFEB,2.378605,2.57004,0.2448761,0.1903855,0.6545003,0.8290365
GUCA1A,19.53254,19.52527,2.255778,1.745463,2.807247,2.113387
GUCA1B,4.454806,3.197265,0.6092776,0.7894986,3.039803,3.269233
FILIP1,11.06314,11.96115,1.732262,1.815353,14.1952,13.22645
HTR1E,0.1605221,0.2818932,0,0.03925875,0.1799497,0
GPRC6A,0.2219004,0.3057487,0.02196589,0.07514305,0.8323776,1.26563
ALDH8A1,0.2051178,0.2881663,0.02199663,0.100331,3.247942,3.245783
MYB,10.96954,11.07153,1.440211,1.955086,1.568262,2.200647
UNC93A,0.435209,0.6878445,0.1633499,0.1064387,1.097733,0.7870569
KIF25,1.739194,1.774955,0.3398182,0.4008563,4.072902,3.902753
SMOC2,9.268836,10.3024,0.8263685,1.529027,1.059436,0.9421941
GPR146,1.087306,1.161789,0.07882931,0.3370837,0.5922828,0.6923757
SP8,8.093858,9.012743,2.029038,2.198025,4.109562,3.825683
PRR15,12.46281,12.23685,3.471149,2.089023,4.199747,6.72992
INMT,2.807266,3.04939,0.07448622,0.1274049,0.7299798,0.7065677
AOAH,0.2082954,0.307262,0,0.1018853,1.027422,0.7282737
NME8,0.4213127,0.4016428,0.05163562,0.1177601,0.1686798,0.5079507
PGAM2,6.478609,5.534806,0.90131,2.141173,3.533207,4.96095
RAMP3,2.054053,2.128205,0.3083844,0.703301,0.3453976,0.1238222
VPS37D,9.378419,8.896689,1.823901,2.92056,0.3042484,1.854199
CLDN3,52.38001,52.88781,9.819786,10.80361,7.479638,5.825086
GSAP,0.8187522,1.035225,0.119411,0.1041256,0.8168813,1.154929
HGF,0.2905187,0.274442,0.1031336,0.02205059,0.2526824,0.4529229
PDK4,0.1827658,0.2605403,0.05534012,0.03155214,2.006673,0.7582611
TMEM225B,0.8814418,1.035904,0.08725381,0.1492432,1.596195,0.7970248
GJC3,10.60866,9.705944,0.5056276,0.8328187,3.23009,2.447508
AZGP1,1.191056,1.015928,0.07298727,0.05548488,0.2543252,0.2393305
FBXO24,6.25144,5.628245,1.605179,1.184366,4.589772,5.387344
ACTL6B,1.788781,2.101409,0.3968837,0.4525661,1.832405,1.636058
RASA4B,12.99025,13.46399,3.429075,2.399423,3.038083,3.340398
RASA4,9.120854,8.973006,1.790178,1.313557,2.237508,2.72359
FEZF1,12.76932,12.85968,1.752224,1.413261,2.066241,1.741718
ZNF467,0.3093,0.5974788,0.06633806,0.1512905,3.438445,2.672478
ASIC3,2.70216,2.865894,0.5261741,0.469562,1.135949,0.8358899
CNPY1,0.2973026,0.3986898,0,0,0.4317549,0.610976
ESYT2,96.78217,98.50926,24.58679,23.5925,40.00879,43.12804
WDR60,26.07351,26.78757,5.969814,5.939032,9.15202,8.944371
VIPR2,7.39637,7.94372,0.6369936,0.5168354,0.4321844,0.8607476
SHOX,0.2674391,0.3874617,0,0,1.217965,0.5038044
ASMT,1.174858,1.295479,0.2812813,0.3608379,0.9648144,3.063491
XG,2.859073,2.3977,0.5068355,0.6421601,2.501941,3.086478
CLTRN,4.356423,4.936625,0.9167278,1.447399,3.132922,5.846866
MAGIX,0.4113267,0.1915019,0.1230984,0.0140369,0.7399187,0.9860557
CACNA1F,2.609024,2.221512,0.2087076,0.2793786,0.9604376,1.453749
PAGE2B,0.7237365,0.6672517,0,0,2.281863,1.145241
EFNB1,11.15185,11.61002,2.283974,1.996717,4.824865,4.57383
OTUD6A,0.396942,0.1493723,0.03648658,0,0.3814141,0
CDX4,2.740883,2.276395,0.4979515,0.6624492,1.409784,2.274283
PGK1,540.9864,546.7175,142.2558,151.9431,89.98857,92.47444
POU3F4,13.97596,14.16264,0.04913995,0.3735616,0.1070181,0.2532096
H2BW2,0.1038304,0.3555569,0,0.03809058,0.4364881,1.17358
TEX13B,1.644065,1.278594,0.4533633,0.2872054,0.7240526,0.7787007
RTL4,0.1682625,0.2954862,0.02405908,0.02743455,0,0.06762123
AKAP14,1.670161,1.363833,0.4298555,0.122541,2.527602,1.132656
TMEM255A,0.7724171,0.973971,0.03259014,0.2973,0.1490486,0.3892953
APLN,9.440115,9.004704,2.164444,1.756585,2.140308,1.973013
SMIM10L2A,27.14427,26.20927,3.594081,2.659116,5.324637,6.723166
MAGEA4,1.506316,1.670682,0.1020227,0.3024746,0.2399622,0.4014475
PNMA5,0.2992697,0.1651723,0.03667816,0.02091204,0.1677449,0.128861
SPRY3,10.95776,11.42592,1.414999,1.851973,1.165852,1.057932
FGF17,0.2080715,0.501113,0.1721318,0,0.5248215,0.2687774
DMTN,0.6662162,0.4718135,0.09838243,0,0.8447942,1.066565
NUDT18,3.871413,3.756348,0.8243595,0.5313136,0.9835166,0.1007379
STC1,80.95949,81.66812,16.33248,18.51987,10.49193,9.745112
ADRA1A,0.5066906,0.5338804,0.1210939,0.1062179,0.6816173,0.5759778
DUSP26,7.658719,7.70408,0.9568702,1.491195,1.375369,1.927411
ADRB3,0.305751,0.2505674,0,0.07477726,0.4284443,0.4607813
CHRNB3,0.2821653,0.3765885,0,0,1.107103,0.8844919
AC009879.3,1.895845,1.884314,0.4401526,0.4158647,5.258463,5.266543
ADHFE1,3.123765,3.276153,0.8002528,0.8064197,5.933653,7.296877
XKR9,0.5468068,0.8642239,0.1919096,0.1641257,0.2089724,0.1348468
LY6L,0.3461189,0.7293844,0,0.07255715,2.07862,1.698983
SPATC1,0.292663,0.3083678,0.1158827,0.03303524,0.6814041,0.7328334
TMEM249,1.793143,2.281064,0.5346737,0.5134214,1.617937,1.581865
MLANA,0.4076453,0.5154242,0.08393374,0.1674917,3.811229,3.833487
DNAI1,0.6758746,0.8545717,0.1565571,0.2380292,0.4546046,1.197844
CA9,0.8506605,0.7682642,0.19548,0.2229057,2.860843,1.977921
PAX5,0.1378276,0.2205247,0.03941465,0.007490749,0.7897105,0.8400825
SPATA31A1,0.2466717,0.2008384,0.05771528,0,0.05656212,0.1216623
GAS1,8.279247,8.101584,1.199358,1.025721,4.179182,3.370956
RNF183,0.3349713,0.3247107,0,0.03932335,1.081475,1.090406
NR5A1,0.4724863,0.5280128,0.1474006,0.1050505,0.6018981,0.414289
PLPP7,2.740846,2.485509,0.6071252,0.7087878,0.8688812,1.462634
NTNG2,0.9042023,0.9593856,0.2196987,0.2505222,0.5422599,0.6517974
BARHL1,1.204645,0.8912026,0,0,0.3447935,0.6952818
FAM163B,2.996269,2.813896,0.2933764,0.2867459,0.7119411,0.1472452
LCN15,0.6091721,0.4813959,0.130654,0.04966156,0.6544448,0.948653
PTGDS,0.5223873,0.5504194,0.04636163,0.1585984,0.5149336,0.3257638
STPG3,1.273615,1.278056,0.1170696,0.3559849,0.7138788,0.4387195
EXD3,3.495432,3.132591,0.6888328,0.9274289,0.8567152,0.8980501
NOXA1,4.367004,3.220941,0.07493012,0.4699351,0.9791067,0.1053005
NLRP6,0.2437279,0.2407563,0,0.0894125,0.5635283,0.5509644
CDHR5,1.796689,1.359834,0.3582129,0.07426726,0.787216,0.5491663
SCT,6.501245,8.317993,2.031803,1.226575,1.717904,1.343683
DRD4,13.21386,11.96824,2.680511,2.722271,3.502606,4.355555
CEND1,5.311328,5.311782,1.197087,1.01277,1.513766,1.573751
KRTAP5-1,0.7779015,0.8196449,0.1334742,0,0.7848445,1.313015
TSPAN32,0.4250259,0.6106819,0.03314863,0,0.3465207,0.3493823
OR52N4,0.4594252,0.5244186,0.09853663,0,0.5150286,1.038563
OR56B4,0.4664708,0.5808664,0,0.1866835,0.7130821,0.1533804
LMO1,8.99683,10.35512,0.3318459,0.4624933,0.3372606,0.518165
SCUBE2,0.7640799,0.8566069,0.243851,0.1435165,5.108494,4.79763
SAA1,0.8944772,1.159971,0,0.1009669,2.429702,0.7465955
IGSF22,0.6559376,0.8825278,0.1818073,0.2073147,1.255708,0.9307383
SLC5A12,1.522801,1.862871,0.3570538,0.3787424,0.1736036,0.05834575
PAMR1,12.69677,12.92506,2.424822,2.727909,1.488557,1.738126
C11orf96,8.529347,7.7224,1.248783,1.723773,9.318302,5.772813
MS4A15,0.3425221,0.2481204,0.0275488,0.06282776,0.3239805,0.1161443
AHNAK,13.81544,14.22098,2.683754,2.666239,13.33951,14.57778
NAALADL1,2.498125,2.263419,0.4193162,0.495855,1.582873,2.073364
SPDYC,1.133805,1.246588,0.2537492,0.3616875,0.08289309,0.7131958
TSGA10IP,9.405591,8.811938,0.548785,0.278124,0.9959633,1.970887
ACTN3,55.82707,57.3054,12.13721,10.5665,6.861416,9.090052
C11orf86,1.522773,1.604488,0.4766616,0.120786,0.2076168,0.07442893
SYT12,1.840641,1.813538,0.3814914,0.3116521,0.5059324,0.4721023
CARNS1,1.120068,1.243721,0.2217509,0.4045797,1.303922,0.9972163
SMIM38,1.212883,1.242469,0.3034928,0.2471947,0.8214706,0.7616132
MYEOV,0.2868291,0.3434327,0.05033336,0.03826339,0.1096171,0.4008277
PLEKHB1,15.33997,16.14227,1.580262,2.325124,1.581993,1.970035
MAP6,0.5467682,0.5441025,0.1368147,0.1560097,1.302503,0.9750733
DGAT2,2.212689,2.370499,0.246566,0.6258055,0.6235859,0.4694559
MTNR1B,0.7492671,0.6315791,0.1285611,0,0.04199747,0.4968397
VSTM5,0.5088772,0.4838737,0.1756936,0.05463908,4.257622,5.229899
SESN3,63.48756,67.88709,7.506166,8.660929,11.19058,10.13929
TRPC6,3.183745,2.997133,0.5597077,0.689293,1.41885,1.478745
DSCAML1,0.3263295,0.2999462,0.1161545,0.02037705,0.9223447,0.7282737
FXYD2,0.4616918,0.4864669,0.1681518,0.05113158,0.4540939,0.9609799
TMPRSS13,0.5186397,0.6327555,0.1756371,0.08011153,0.2907048,0.3126458
TMPRSS4,0.1669658,0.2535395,0.04423649,0.05044283,0.3468211,0.2753077
SCN4B,1.980378,2.487577,0.5230518,0.4568442,1.003389,1.423188
CCDC153,2.178855,2.054115,0.4919121,0.645066,1.992612,2.454087
PKNOX2,1.038614,1.480125,0.1826952,0.1535042,0.3266784,0.2162059
FEZ1,14.04685,13.95045,2.993637,2.337268,2.775238,3.278433
